"","Fold.change","Gene"
"740",0.00187006080544405,"OTOF"
"742",0.120719846723206,"C19orf60"
"743",0.27357692098234,"EXOSC6"
"744",0.235319955359968,"UBE2F"
"745",0.267003882782552,"AVIL"
"749",0.32173105072202,"PPP3CA"
"751",0.112831025842574,"HNRNPUL2"
"752",0.339425063635192,"KANSL3"
"754",0.571999887058212,"LAMA5"
"759",0.142690043428855,"PRIMPOL"
"765",0.140242145351134,"PBX1"
"767",0.361463175435027,"SPATS2L"
"768",0.360794802067495,"AHI1"
"770",0.138466986931415,"ANKRD50"
"771",0.0228078914395198,"IFT52"
"772",0.198267162142578,"PLEKHA7"
"773",0.581724126654612,"POU5F2"
"774",0.278310379660615,"FLNC"
"777",0.481053203559812,"HPX"
"778",0.25354734963949,"CCM2"
"779",0.205801599557097,"DOHH"
"782",0.384619128868989,"GPR89C"
"787",0.4164685409549,"TM7SF3"
"796",0.0301231316555004,"WBP1"
"798",0.246122564553796,"C7orf31"
"799",0.389892466041488,"GRWD1"
"801",0.00131900484031,"ZNF780B"
"806",0.368551512679955,"PARP16"
"809",0.464692701015609,"LRRC29"
"810",0.0435958070061684,"UBE2Q2"
"814",0.114119627158121,"SPIRE2"
"822",0.568058476095331,"MLANA"
"824",0.558246463075768,"THUMPD2"
"825",0.161629443885795,"CENPB"
"826",0.186748011853239,"ZDHHC23"
"827",0.0399486993099671,"PCMT1"
"828",0.198528023952576,"ELP5"
"832",0.0943565455491617,"COG6"
"835",0.368017556133934,"RPL38"
"838",0.268933200857479,"RASGRF2"
"839",0.00829477873172102,"MTRNR2L4"
"841",0.122004382768766,"C17orf51"
"845",0.464611444185038,"RC3H1"
"847",0.554625453114483,"TMEM115"
"850",0.0709549204040911,"POC1B-GALNT4"
"852",0.443303158287976,"ZNF514"
"854",0.460832567520288,"MLH1"
"855",0.343394582592616,"SPRY3"
"856",0.0235057056229842,"EIF3L"
"858",0.236043289933404,"NUDT17"
"859",0.0747116475390559,"DRG2"
"861",0.407131781202861,"C16orf46"
"865",0.205813732916965,"POLR3C"
"866",0.415490393660491,"AANAT"
"869",0.195854620252986,"DDX41"
"870",0.0783306211700783,"FAM117A"
"871",0.466711774115629,"CLDN3"
"872",0.265392471899736,"ADC"
"873",0.187074505948013,"LAYN"
"874",0.228163368705736,"ZXDB"
"875",0.17199169990046,"FASTKD5"
"877",0.491453445510651,"SH3PXD2A"
"878",0.421698052997207,"CLEC5A"
"879",0.109535174338149,"NUP98"
"881",0.00901902509917996,"ACOX1"
"885",0.215628336959728,"CXorf31"
"886",0.514759804591959,"NUTF2"
"889",0.329274928957888,"DCUN1D4"
"890",0.54754045063442,"C10orf118"
"891",0.187774461003819,"ZBTB45"
"892",0.13118374097145,"FAM96A"
"894",0.547211989335576,"C9orf172"
"896",0.153767236526898,"FCHSD1"
"898",0.0578342862120849,"MMS19"
"899",0.283916850917437,"GPLD1"
"900",0.405987437602258,"SLITRK3"
"901",0.221371600200834,"CDKN2AIP"
"906",0.126983423151422,"CCDC93"
"907",0.294059511137689,"GAA"
"908",0.281975569192243,"L3HYPDH"
"911",0.449377186676772,"SP5"
"912",0.118371162175219,"EPHA2"
"913",0.54922824832475,"MEA1"
"914",0.174342061352585,"VAC14"
"920",0.190954659306195,"ACOX3"
"921",0.526567897621158,"HSD17B12"
"923",0.0694091548605016,"MXI1"
"927",0.0632258792065636,"ALS2"
"932",0.299667763229908,"LRRC4"
"935",0.198821166106483,"AC010536.1"
"937",0.0466408794766924,"DDX6"
"938",0.490926767049769,"MSANTD2"
"942",0.306154821786813,"YTHDC2"
"943",0.022588739017559,"CLTB"
"948",0.181997824058012,"C10orf137"
"950",0.118974959594372,"HEY2"
"952",0.416131005944738,"SND1"
"953",0.0769553333250759,"TSC22D4"
"954",0.473101333460963,"PRL"
"955",0.166368452707872,"HGD"
