"","FC","rawPvalue"
"ZNF222",-0.0193482948676937,0.791100818493927
"CNGA1",2.63718461409846,3.05939329948525e-12
"DYM",0.0357702164477534,0.388886073318684
"GALNT6",1.16176201579913,1.04418021713068e-09
"CTTNBP2NL",-0.264522011387538,0.00448872778533535
"PFKFB2",2.42647747070844,1.81126260433682e-12
"PRKCI",0.602102606672213,8.77265171379449e-09
"MAGED1",0.0436297220234323,0.0516370136799867
"ACOT4",0.330775288919354,0.0446965171516511
"DHCR7",0.923209699714166,1.91681039124266e-11
"RNLS",-0.290349672220835,0.953710109177713
"QRICH2",-0.166000448282139,0.684493198782624
"CCDC148",0.896176304480004,1.14438870581216e-12
"MESDC2",-0.336469895315076,1.6364697039077e-13
"FAM155A",0.351870342314908,0.2136995006377
"KLRC3",-1.84794360271645,5.46286040022975e-07
"OTUB2",0.199875276170785,0.00241502066473855
"DYNC2H1",0.0311602702846443,0.586190761524833
"POLR2D",-0.329880802619678,1.24388518689032e-10
"PSEN2",0.130540240718449,0.0158488451851159
"GTF2A1",0.338693044579964,8.96071731672258e-08
"TMEM201",0.751039539452869,5.15565878296837e-12
"PCSK1N",2.24913953574771,1.27841857337087e-14
"KLHL24",0.158587854872794,0.00709587645397726
"SPRYD3",0.359379848260062,3.95142798028286e-10
"RXRG",0.943465344658558,7.4146173743842e-05
"LAGE3",-0.204813712459851,0.185871452031841
"ATHL1",-1.9405923870691,3.16223075967756e-10
"LMO7",1.12310142866085,7.65964934403439e-14
"CNGA4",0.461206893039702,0.00011760906325733
"BSPRY",2.65872715376529,1.33083594182761e-12
"MTTP",1.05703716728233,4.14151187423536e-06
"TMEM9B",0.615656334719318,8.19999873358793e-17
"NUP205",-0.275746424377955,3.73441306507433e-06
"UBL3",0.567191443181242,2.24537889681802e-09
"CCNB2",-1.79242452628344,1.18059710248407e-09
"GDPD2",2.39871540946455,3.78971061277168e-11
"PLEKHB1",2.28612979900843,2.06590247695105e-12
"SRP9",0.49195965058826,1.10852159100753e-11
"ZXDA",-0.414890704043115,4.94629353767226e-08
"GGNBP2",-0.108031461872972,0.0114889808988998
"KRT85",1.72337569112579,1.37640022820949e-06
"MFI2",2.05982857477007,4.02162371825389e-06
"BCL2L11",0.204767767954468,0.0141085557135531
"GPR132",-0.419611963644382,0.00150183540635503
"TNFRSF10B",-1.32049795335603,3.05939329948525e-12
"NPIPB11",-0.730215952095518,4.0871396823628e-06
"CARD9",-1.51681061719469,1.88974574620085e-10
"RBM4",0.324331779167453,1.52735044091842e-13
"KBTBD2",-0.237787135542026,4.30355245683195e-05
"NYNRIN",0.873957730973363,8.30755780832954e-07
"ARC",2.29883982022027,7.80341557998095e-07
"WNK1",1.75041738121214,8.23315060333275e-12
"LPPR3",0.15502517169488,0.811258929155609
"ZNF738",0.328096094744801,0.00267122789948611
"ZDHHC12",-0.0277467836408896,0.688899860382692
"PARP14",-0.985659416090625,5.18325160589766e-11
"LYPD6",3.69961451648445,7.29429463457396e-24
"FAM109B",0.0495304452151268,0.642580569090157
"TIMM10",-0.261245907307543,0.000108925988994508
"ZNF787",-0.449799740042103,7.19322358830452e-08
