"","TCGA.22.5478","TCGA.22.5472","TCGA.60.2709","TCGA.22.5489","TCGA.22.5471","TCGA.22.5482","TCGA.22.5483","TCGA.43.3394","TCGA.34.7107","TCGA.43.6771","TCGA.22.5491","TCGA.33.6737","TCGA.90.6837"
"FHL3",624.99,493.56,660.68,813.63,503.95,624.99,547.75,555.41,497,780.44,208.38,460.44,738.29
"CHAD",19.39,29.7,12.27,13.52,7.22,1.3,7.51,2.53,4.66,2.81,21.16,5.96,4.98
"PLEKHA6",102.25,77.79,30.12,40.36,19.39,9.56,34.51,12.74,12.09,83.45,46.5,363.56,39.22
"MN1",579.04,221.86,143.01,70.51,42.71,96.68,17.51,19.97,189.02,152.28,164.42,26.1,211.31
"DHRS13",860.08,199.85,258.57,384.34,559.28,166.73,239.52,387.02,151.22,249.73,291.04,239.52,134.3
"UBXN2B",178.77,209.84,269.6,265.87,115.97,234.57,231.32,187.71,173.85,98.04,113.56,242.88,157.68
"COMMD1",1819.35,1044.52,1242.34,1277.29,2061.24,642.59,1037.29,1769.57,1059.11,1519.15,1407.55,1259.69,1331.57
"USP16",363.56,599.49,551.56,567.1,341.51,463.65,547.75,543.96,351.14,366.09,429.54,486.75,353.59
"HMGXB4",271.48,356.05,346.29,239.52,236.21,314.17,283.05,591.22,323.03,206.94,483.38,217.27,237.86
"GPT2",607.87,406.31,124.37,157.68,191.67,366.09,836.53,150.17,267.73,665.29,616.37,599.49,127.89
"C1orf101",4.78,12.09,6.67,9.56,2.71,7.34,4.74,6.41,6.94,0.96,3.03,1.66,2.14
"LEPREL1",339.14,164.42,392.44,336.79,264.03,1870.53,38.12,571.05,52.45,239.52,1340.84,171.45,1322.37
"TMEM61",15.91,30.56,22.75,3.86,47.84,88.88,122.64,26.47,2.2,34.51,9.93,25.91,8.78
"ONECUT2",3.41,3.14,2.61,4.03,0.45,2.07,21.16,0.82,2.46,0,3,2.18,4.9
"PPP2R4",2090.03,3639.7,2047,2468.49,2240.11,2682.69,2627.46,2664.15,3081.75,1583.71,2351.53,1651,1794.29
"ZNF81",97.36,50.63,38.95,54.33,49.21,36.01,68.55,135.24,52.45,34.02,86.43,65.26,44.57
"KRT222",0.28,0.28,0.69,4.03,0.85,0,1.19,2.23,1.66,0.34,0.85,2.03,0.69
"BLNK",242.88,277.2,224.97,279.14,181.28,166.73,53.19,165.57,104.42,348.71,197.09,64.8,214.27
"TMEM240",74.06,14.14,49.21,39.22,14.14,60.82,14.35,16.63,12.27,14.14,5.36,24.11,24.11
"PSAPL1",0.11,0.11,0.44,4.62,15.8,0.64,0,0.13,0.13,0.16,0.1,16.63,0
"AOC1",14.45,52.08,70.01,23.93,26.1,10.79,8.19,11.47,8.06,25.54,15.91,217.27,4.06
"FAM160A1",141.02,89.51,35,39.79,50.63,72.52,17.38,84.63,108.14,163.28,96.68,52.45,75.64
"GOLGA6A",5.87,0.59,0.66,0,0.57,3.79,6.57,4.21,3.53,0,2.03,1.91,1.1
"TULP2",7.34,2.05,10.88,0.46,3.86,4.58,2.71,11.3,0.79,0.85,0,0.8,12.93
"IRGM",0.95,0,3.69,1.1,0.91,0,0.57,0,0,3.32,0.55,0,0.64
"SOAT1",764.36,348.71,1008.9,595.34,191.67,271.48,620.67,248,307.69,381.68,258.57,312,688.78
"PACS2",1551.09,780.44,665.29,486.75,830.75,775.05,941.27,547.75,674.59,854.13,483.38,743.43,1111.82
"STAT3",2047,2271.4,1857.6,3168.41,2090.03,1044.52,1304.15,1977.24,1437.15,3395.89,1733.13,2075.59,1519.15
"NEK5",18.84,30.34,5.11,4.58,5.28,0.19,7.63,5.92,0.85,0.58,9.7,2.2,1.97
"GPC3",775.05,1015.93,4358.66,139.07,1191.69,947.83,135.24,6983.79,9025.81,49.56,2255.7,214.27,138.1
"PXMP2",500.46,379.04,389.72,563.18,532.74,423.61,476.71,642.59,379.04,307.69,563.18,403.5,579.04
"OTC",1.57,2.51,0,2.32,0,0.41,0,3.96,0.44,0,1.5,0.79,0
"OSCP1",224.97,265.87,135.24,154.42,180.02,29.91,134.3,145.02,87.03,198.47,260.38,42.41,229.72
"NFKBIZ",229.72,620.67,299.25,204.07,100.13,190.34,59.55,265.87,187.71,371.22,260.38,454.09,543.96
"UPK2",31.45,43.02,4.13,6.01,6.62,4.74,2.78,5.28,4.17,26.86,41.81,55.1,28.65
"PTPRS",599.49,738.29,995,647.07,417.77,647.07,379.04,551.56,1051.79,312,620.67,525.39,231.32
"PDS5B",267.73,202.66,242.88,299.25,111.99,173.85,281.09,325.29,209.84,180.02,143.01,185.11,173.85
"TPD52L2",5403.7,2224.63,1794.29,1909.85,2090.03,2682.69,1883.54,1806.78,1529.73,4607.24,1583.71,2417.67,2997.45
"QTRTD1",229.72,366.09,224.97,470.14,144.01,195.72,332.14,305.55,343.89,193.01,346.29,204.07,208.38
"ALDH1A1",1096.5,2047,6887.62,595.34,660.68,1397.83,2178.83,5076.84,4972.34,115.16,7803.01,2895.31,3847.29
"ZNF625",22.1,37.59,24.11,34.26,38.12,34.26,64.8,27.05,14.67,8.71,9.85,9.34,16.03
"PCBD1",1662.49,1857.6,1427.22,1183.45,2739.08,1397.83,1794.29,2104.58,1250.98,954.43,2061.24,5791.62,1359.57
"KCTD16",4.39,2.14,2.14,1.83,0.52,0.25,4.39,1.93,2.71,0,0.22,3.5,1.03
"HIRA",633.73,412,307.69,287.01,127,403.5,444.72,237.86,642.59,234.57,318.57,202.66,301.33
"IFI44L",63.45,95.34,283.05,738.29,366.09,18.03,113.56,103.69,199.85,224.97,76.71,46.18,33.06
"RP11-268J15.5",42.11,50.27,65.72,79.45,19.68,60.39,25.17,70.51,32.59,31.22,15.56,78.89,98.73
"IER5L",297.17,163.28,314.17,107.38,236.21,406.31,429.54,82.29,299.25,246.28,144.01,738.29,162.14
"DECR1",1794.29,1806.78,1127.35,1340.84,1304.15,1498.22,915.51,1674.06,1242.34,638.15,1407.55,3491.39,1001.93
"C6orf118",42.41,120.1,7.82,12.55,2.2,0,8.78,1.1,0.3,0,53.95,0,0
"ZFP69",32.82,42.41,37.05,66.18,54.72,50.27,111.21,96.68,60.39,49.21,60.39,43.94,70.01
"C1orf210",265.87,325.29,170.25,70.01,93.35,85.82,327.56,194.36,50.27,133.36,204.07,197.09,106.63
"USH1G",15.34,63,53.95,15.45,37.85,161.02,1.83,44.89,231.32,20.26,104.42,5.28,11.47
"RNF219",76.71,127,175.07,189.02,163.28,154.42,147.06,156.59,120.1,88.26,103.69,102.25,117.6
"WDR52",88.26,148.09,36.53,29.91,30.12,31.45,22.26,59.97,45.85,36.79,44.89,80.01,73.03
"ZFC3H1",202.66,271.48,293.07,265.87,341.51,215.77,237.86,373.81,260.38,323.03,178.77,395.18,444.72
"ZNF579",633.73,177.53,275.28,145.02,178.77,150.17,234.57,111.99,150.17,178.77,74.58,293.07,102.97
"ZNF143",297.17,384.34,239.52,384.34,249.73,555.41,361.04,417.77,267.73,493.56,429.54,503.95,277.2
"CTTNBP2",146.03,13.22,27.64,61.25,81.14,36.27,15.45,84.63,191.67,9.34,80.01,10.79,18.29
"RPS2",40062.48,65990.84,68318.04,87681.42,83528.61,52497.92,33455.53,88291.3,90146.51,93974.69,87075.75,93974.69,67846.12
"TGM5",18.84,89.51,1.68,12.64,33.78,125.24,1.11,7.57,15.91,112.77,38.4,3.29,21.78
"ACN9",493.56,358.54,540.19,295.11,341.51,409.15,1844.76,1407.55,346.29,135.24,878.17,351.14,258.57
"CLDN12",909.17,629.35,269.6,265.87,231.32,379.04,1397.83,555.41,237.86,376.41,490.14,567.1,373.81
"UQCRQ",4095,5006.93,4769.75,5255.91,8421.31,5219.6,6250.56,8778.97,3589.58,5831.91,9344.14,7966.99,8305.36
"SUSD1",381.68,158.79,384.34,193.01,177.53,191.67,156.59,164.42,201.25,271.48,129.69,117.6,190.34
"ZNF445",55.1,61.68,80.57,91.41,36.79,35.76,75.11,64.34,95.34,63,33.78,30.34,57.89
"GOPC",226.54,387.02,228.13,299.25,170.25,346.29,320.8,253.23,279.14,314.17,226.54,262.2,277.2
"GLI4",346.29,423.61,397.93,287.01,366.09,536.45,318.57,384.34,348.71,131.51,441.64,316.37,429.54
"PLCG2",353.59,166.73,392.44,412,177.53,264.03,90.77,120.94,256.78,156.59,312,139.07,327.56
"ANXA7",2956.17,3768.09,2537.92,2240.11,3794.3,3372.43,2502.97,2816.11,2664.15,2384.37,4543.8,3639.7,1991
"MAP4K4",595.34,738.29,967.76,1674.06,493.56,1096.5,1304.15,642.59,1594.73,1709.26,647.07,1397.83,1183.45
"LINS",181.28,283.05,260.38,202.66,205.5,307.69,218.79,429.54,185.11,341.51,209.84,206.94,244.57
"DHTKD1",320.8,232.94,195.72,329.84,125.24,141.02,275.28,215.77,299.25,195.72,327.56,205.5,305.55
"RP11-10A14.4",35,12.64,10.71,13.12,8.71,10.08,1.23,16.75,18.43,1.81,42.71,34.51,141.02
"SYNM",157.68,78.34,77.79,159.9,72.52,197.09,273.37,39.5,110.43,12.27,56.68,141.02,536.45
"CTTNBP2NL",218.79,497,301.33,220.32,100.83,316.37,152.28,215.77,248,493.56,265.87,198.47,185.11
"TPRKB",896.64,748.61,842.36,1498.22,1769.57,860.08,1883.54,1540.37,961.07,769.69,1322.37,1277.29,703.28
"LSM5",2018.8,1369.04,1781.89,1508.65,2796.65,2224.63,2591.27,4268.94,1175.27,2133.97,2816.11,2502.97,2075.59
"MRP63",314.17,343.89,358.54,256.78,713.11,289.02,503.95,392.44,412,323.03,571.05,371.22,218.79
"PCDHA5",0.44,1.71,2.68,1.28,9.48,1.79,0,1.14,20.56,0,0.43,0.84,0.88
"MT-ND5",12943.04,19482.97,14663.09,8479.89,14262.1,13306.94,5791.62,13872.08,20170.07,19618.49,7642.41,37639.55,77934.88
"CD40",1605.83,738.29,743.43,2148.82,1769.57,204.07,397.93,334.46,212.78,529.06,532.74,279.14,591.22
"GRAMD1A",1135.2,1051.79,1685.71,2835.7,1639.59,848.22,1685.71,1883.54,1477.58,1001.93,363.56,1819.35,1519.15
"C2CD4D",15.22,5.59,1.35,19.82,14.03,7.4,11.73,5.23,10,8.71,2.97,20.11,12.74
"UBE2J2",1551.09,1199.98,1088.92,1277.29,1295.13,1498.22,842.36,961.07,698.41,928.3,974.5,934.76,1583.71
"AC006132.1",8.71,39.22,5.92,29.7,18.97,15.56,13.03,15.34,30.12,17.25,43.63,15.45,41.81
"TCAP",7.94,5.41,6.16,3.76,11.64,7.88,12.93,7.94,15.56,5.28,7.22,14.03,9.7
"CCDC125",78.89,119.26,81.14,74.58,59.97,32.36,81.14,102.25,46.18,39.79,79.45,69.03,92.05
"CALML3",1051.79,13681.08,1467.37,2468.49,9673.69,10014.87,753.83,5517.27,14867.79,1467.37,22072.07,20.86,20593.91
"CNTROB",620.67,674.59,934.76,536.45,551.56,583.07,607.87,529.06,825,595.34,289.02,551.56,693.58
"PRKCB",61.68,50.63,142.01,137.14,53.95,19.53,287.01,24.11,43.32,34.26,21.16,50.63,58.71
"PDE4D",78.89,135.24,134.3,111.99,57.89,72.52,127,202.66,65.72,65.72,129.69,1051.79,56.28
"ACER2",60.39,58.71,67.59,30.12,14.89,34.26,75.11,40.07,177.53,66.65,74.06,12.36,40.36
"SPIN2B",111.99,167.9,206.94,80.01,152.28,256.78,133.36,521.76,295.11,82.29,256.78,144.01,112.77
"AL136531.1",0.91,1.28,1.91,0.61,1.23,0.56,1.64,1.35,5.5,1.06,0.53,0,1.48
"DFNB59",57.89,16.27,22.26,39.5,15.56,63,46.84,164.42,77.25,15.11,44.57,9.13,20.71
"CGRRF1",236.21,186.4,173.85,198.47,291.04,151.22,260.38,218.79,90.77,115.16,273.37,264.03,170.25
"TOMM6",4123.49,5329.3,5517.27,5006.93,7857.29,10368.08,8963.45,10368.08,7130.55,6983.79,7537.18,10659.59,6652.97
"MLF2",4869.99,4152.18,6164.49,8078.22,14765.09,6037.61,4769.75,14867.79,5441.3,5441.3,6037.61,5219.6,7485.11
"MYRFL",5.06,12.09,1.91,1.97,3.92,2.39,1.64,6.31,0.75,1.95,5.15,3.59,8.06
"IDI1",921.88,540.19,928.3,1066.48,616.37,860.08,1745.2,1819.35,665.29,1651,1519.15,934.76,743.43
"IPO11",271.48,231.32,217.27,314.17,204.07,187.71,301.33,277.2,305.55,258.57,271.48,244.57,281.09
"IL23R",0.24,1.5,1.03,2.2,0.82,0.91,0,0.26,1.66,0.67,1.13,0.99,1.39
"CASC10",43.94,17,5.06,16.63,15.68,7.17,13.22,20.11,11.04,16.39,8.38,11.3,115.97
"CEACAM7",1.73,57.49,2.34,1.68,0.78,5.73,3.2,3.08,2.2,0.55,521.76,77.25,4.39
"FBXO22",591.22,587.13,423.61,723.08,587.13,642.59,830.75,1111.82,603.67,775.05,802.41,791.35,514.56
"AK8",38.4,137.14,66.65,33.06,95.34,122.64,33.3,50.98,52.45,6.21,51.35,3.76,5.5
"SPINK6",1.51,5.68,1.07,595.34,3.32,21.63,0,10.71,4.39,0,0.61,6.31,22.43
"NLRP1",392.44,444.72,363.56,358.54,466.88,224.97,147.06,98.04,327.56,253.23,98.04,106.63,389.72
"CADM1",146.03,764.36,547.75,909.17,71.5,71,1322.37,136.19,163.28,226.54,447.82,148.09,237.86
"DUOX1",155.5,1340.84,397.93,201.25,256.78,941.27,23.59,457.25,223.41,1388.16,432.53,190.34,536.45
"FLT4",62.12,105.89,96.68,150.17,33.54,22.26,72.01,34.51,79.45,50.27,16.15,181.28,103.69
"IKBKB",616.37,1127.35,698.41,656.11,454.09,674.59,607.87,928.3,703.28,603.67,884.29,665.29,947.83
"SPIB",135.24,14.89,80.01,2758.13,102.97,2.56,8,15.91,3.26,8.65,28.86,15.22,10
"COX6A1P2",87.65,191.67,170.25,149.12,432.53,187.71,239.52,387.02,215.77,129.69,473.41,204.07,123.5
"CXCL6",896.64,1487.87,26.28,35,97.36,25.91,99.43,69.52,1.93,80.01,80.01,27.44,42.11
"ZFP3",33.3,43.63,38.4,37.32,46.84,10.88,8.58,60.82,81.14,16.15,5.73,22.92,20.26
"MAK",7.82,20.11,3.82,5.92,1.55,1.13,5.68,3.47,0.57,0.62,10.24,1.22,2.89
"FAM216A",74.06,111.99,85.22,75.11,87.03,107.38,185.11,157.68,169.07,50.98,153.34,49.91,59.13
"RPN2",15285.81,5183.54,7280.4,7537.18,13033.07,5517.27,8598.28,4937.99,7230.1,6250.56,7803.01,7803.01,6652.97
"TMEM203",723.08,961.07,928.3,813.63,1286.18,1561.89,748.61,1159.07,1081.39,587.13,802.41,483.38,647.07
"TMEM120B",146.03,105.15,128.79,84.63,148.09,55.89,124.37,137.14,100.13,161.02,104.42,348.71,241.19
"PKIA",476.71,116.78,74.58,94.67,45.85,76.71,50.63,134.3,18.16,44.89,117.6,30.56,24.11
"C14orf37",55.49,16.39,88.26,56.68,18.16,54.72,43.02,29.06,34.51,55.1,37.85,20.26,39.22
"MRPL55",2287.2,1407.55,1977.24,2104.58,3081.75,1662.49,1733.13,1259.69,1487.87,1175.27,1950,1745.2,2303.12
"NXPE2",0.4,0.4,0.46,1.27,0,0.42,2.01,1.11,1.85,0,2.56,0,0.84
"ADRA1B",4.94,9.2,12.18,121.79,28.04,5.19,2.43,5.23,5.77,17.38,0.96,3.14,1.99
"ARHGEF10L",104.42,376.41,314.17,295.11,208.38,173.85,154.42,206.94,137.14,417.77,133.36,264.03,503.95
"PEX13",656.11,423.61,420.68,470.14,395.18,351.14,341.51,1277.29,389.72,514.56,647.07,361.04,395.18
"CCDC101",267.73,599.49,392.44,493.56,808,279.14,414.87,246.28,703.28,211.31,567.1,299.25,277.2
"LRIT3",0.65,1.77,1.58,0.73,0.62,0.67,0.65,1.46,1.1,0,0.99,0.69,2.01
"PGAP3",358.54,511,563.18,343.89,384.34,265.87,529.06,454.09,201.25,297.17,483.38,305.55,253.23
"UBLCP1",221.86,387.02,476.71,571.05,529.06,327.56,289.02,651.58,332.14,466.88,612.11,343.89,234.57
"LIPN",0,0.64,0.74,0,0.29,1.35,0.62,1.01,0,1.93,3.76,1.45,1.13
"MYH10",647.07,291.04,836.53,473.41,155.5,432.53,334.46,281.09,483.38,559.28,46.5,384.34,507.46
"FAXC",113.56,303.44,162.14,95.34,277.2,616.37,305.55,1001.93,599.49,29.91,239.52,31,22.26
"C14orf166",3146.52,3190.46,2701.35,3589.58,5292.48,3794.3,3325.99,3928.15,2193.99,3467.27,3081.75,5183.54,3794.3
"BDH2",1008.9,500.46,575.03,457.25,450.94,283.05,395.18,470.14,332.14,242.88,368.65,503.95,432.53
"LPAR4",1.77,0.57,11.3,5.68,1.39,1.85,10.24,2.81,3.56,2.46,0,1.99,6.26
"PTPRR",17.25,19.39,5.82,8.06,23.42,22.75,5.96,21.32,3.59,17.38,5.96,11.47,8.71
"CRYZL1",312,403.5,463.65,483.38,299.25,371.22,283.05,660.68,198.47,221.86,224.97,392.44,316.37
"ABCC6",62.12,100.13,77.25,33.54,6.84,14.45,42.41,46.5,18.29,4.7,18.56,142.01,18.16
"RUVBL2",1923.14,2303.12,2104.58,2502.97,2739.08,2104.58,3280.18,1508.65,1870.53,1857.6,3060.45,3491.39,2032.85
"SDCCAG8",417.77,1313.23,988.12,1674.06,540.19,567.1,2645.74,1709.26,1487.87,348.71,1417.35,463.65,947.83
"SH2B2",239.52,86.43,156.59,81.14,110.43,75.11,88.26,36.27,77.25,94.01,50.98,106.63,115.16
"RASGEF1C",0,0.46,10,3.96,1.38,0,0.46,0,1.2,0,1.99,4.35,4.54
"WIF1",14.24,135.24,52.45,17.64,5.5,2.58,1769.57,275.28,9.27,0,251.48,33.06,0.55
"PLCL2",87.65,41.81,94.01,124.37,39.79,22.75,43.32,33.54,88.88,46.5,28.65,26.1,40.93
"TNXB",97.36,303.44,271.48,107.38,32.82,13.32,36.53,53.57,193.01,7.11,16.51,138.1,58.3
"TANGO2",688.78,547.75,595.34,514.56,591.22,547.75,438.59,559.28,595.34,348.71,642.59,336.79,595.34
"PRICKLE3",351.14,507.46,353.59,397.93,1023,460.44,126.12,651.58,836.53,507.46,567.1,242.88,327.56
"DHPS",1001.93,1508.65,1745.2,1322.37,1628.26,1733.13,2468.49,1259.69,1721.16,743.43,1617,2163.77,1857.6
"FTSJ3",1685.71,514.56,718.08,624.99,486.75,412,656.11,532.74,780.44,532.74,518.15,872.1,511
"USP42",199.85,127.89,165.57,134.3,107.38,120.1,120.1,187.71,134.3,154.42,109.66,75.64,151.22
"IFI44",339.14,579.04,688.78,1540.37,902.89,111.99,295.11,258.57,312,1191.69,450.94,217.27,297.17
"TMCC1",351.14,616.37,507.46,660.68,275.28,400.71,559.28,656.11,486.75,551.56,651.58,366.09,497
"MSI1",7.75,7.82,86.43,21.01,142.01,163.28,172.65,202.66,343.89,5.82,167.9,7.06,15.22
"DAAM2",65.72,88.26,186.4,150.17,44.57,41.81,74.06,38.95,73.03,94.01,23.25,61.25,86.43
"CD300A",199.85,363.56,518.15,387.02,204.07,119.26,450.94,256.78,172.65,136.19,122.64,341.51,466.88
"ANKRD20A3",4.7,10.96,4.03,7.51,1.07,4.9,46.5,2.43,5.11,1.27,3.35,0,3.59
"SMUG1",896.64,909.17,902.89,981.29,3190.46,961.07,1143.1,1286.18,1104.13,890.44,1662.49,1286.18,1427.22
"C11orf80",327.56,441.64,412,379.04,493.56,780.44,258.57,603.67,334.46,426.57,237.86,316.37,267.73
"CXCR2",10.79,132.44,11.55,13.42,5.28,2.48,8.58,8.19,6.73,18.7,82.87,23.08,27.05
"GLRA3",64.34,0,0.49,3.66,1,5.19,0,4.94,4.54,0,4.24,0.47,2.23
"OS9",5366.37,5219.6,6516.03,5954.47,6840.04,4543.8,4239.45,4038.61,5872.48,6381.92,2591.27,4450.27,8421.31
"HNRNPD",5711.87,4268.94,4543.8,4298.64,4210.15,5594.3,5112.16,3419.52,4769.75,4066.71,3928.15,5219.6,3768.09
"PSMG1",1199.98,1175.27,961.07,1322.37,1769.57,1378.57,1519.15,2240.11,1081.39,723.08,1104.13,2739.08,2133.97
"ATP8B3",22.26,58.3,39.79,69.52,33.54,194.36,22.26,165.57,29.48,108.9,11.3,35.76,161.02
"NUP85",1529.73,748.61,1277.29,1135.2,1594.73,928.3,1183.45,1397.83,842.36,902.89,1277.29,1617,1119.56
"NPIPA7",314.17,830.75,1304.15,414.87,872.1,131.51,854.13,679.29,854.13,473.41,587.13,954.43,1175.27
"VTA1",493.56,860.08,532.74,791.35,414.87,1233.75,1216.75,1127.35,791.35,813.63,1151.06,791.35,698.41
"CMTM3",878.17,813.63,1417.35,1119.56,748.61,819.3,947.83,460.44,665.29,974.5,120.94,414.87,995
"C5AR1",189.02,381.68,1388.16,368.65,93.35,158.79,279.14,273.37,269.6,232.94,132.44,275.28,669.92
"PMCH",8.51,0,11.04,12.18,7.57,13.93,6.73,15,15.22,1.35,11.55,15.56,4.46
"AC010441.1",514.56,414.87,1015.93,543.96,346.29,368.65,450.94,591.22,271.48,1023,224.97,265.87,1066.48
"JPH4",2.81,17.64,16.63,10.55,5.06,5.87,2.53,3.26,9.34,2.43,1.45,3.14,7.11
"BARX2",334.46,698.41,8.51,583.07,178.77,130.6,14.56,119.26,3.23,142.01,279.14,11.04,928.3
"KIFC2",656.11,483.38,343.89,283.05,208.38,466.88,323.03,583.07,403.5,309.83,265.87,607.87,660.68
"TP63",532.74,1709.26,2303.12,1397.83,1437.15,6426.31,20.56,2796.65,6935.54,1167.14,3146.52,25.35,775.05
"SLC16A3",5041.77,2119.22,2485.67,1697.45,981.29,2855.44,2224.63,1883.54,1331.57,4639.29,921.88,8134.41,3955.48
"ORC3",191.67,395.18,320.8,514.56,447.82,480.04,660.68,571.05,540.19,209.84,476.71,149.12,334.46
"PITPNM1",460.44,1044.52,283.05,318.57,231.32,423.61,389.72,262.2,403.5,733.19,264.03,1175.27,293.07
"SPDYC",1.73,0,0.91,0.54,15.68,0,0,9.41,0.85,0,12.27,0.51,0.91
"SCN11A",0.59,0.6,1.75,0.36,0.28,0.31,0.29,1.27,0.99,0.36,0.85,0,0.71
"PDGFA",2384.37,490.14,473.41,698.41,679.29,1322.37,134.3,262.2,198.47,1605.83,113.56,307.69,171.45
"TPSG1",0,0,3.41,0.75,1.75,1.1,0,3.14,2.41,3.5,0.66,2.01,7.4
"CYP4F22",1.28,15.22,8.78,3.72,18.29,12.64,0.75,34.51,4.78,15.8,4.9,2.61,2.43
"EEPD1",273.37,473.41,733.19,215.77,228.13,371.22,616.37,497,329.84,107.38,470.14,131.51,198.47
"LAD1",934.76,4639.29,1242.34,3467.27,2664.15,5403.7,656.11,1208.34,5292.48,9025.81,3639.7,2645.74,5913.33
"SMAD2",4802.93,1437.15,1561.89,1583.71,796.86,2004.85,1745.2,1340.84,1437.15,1407.55,2224.63,1819.35,1378.57
"TMEM105",10.79,38.12,18.56,25.72,73.54,79.45,55.49,76.17,2.81,38.4,9.85,42.11,23.25
"HIPK4",3.44,2.12,2.05,2.53,0.73,1.14,1.75,1.16,2.29,2.89,0.73,2.34,4.03
"AC008964.1",71,175.07,334.46,228.13,198.47,55.89,559.28,58.3,81.14,116.78,35.76,119.26,137.14
"RUNDC3A",25.35,80.01,40.36,24.28,20.11,34.51,111.99,77.79,42.11,432.53,108.14,8.92,50.63
"DPYSL3",2240.11,1977.24,1896.65,1467.37,796.86,890.44,3280.18,518.15,1963.57,273.37,575.03,497,1794.29
"ID4",171.45,295.11,161.02,493.56,81.14,55.89,131.51,92.05,127,20.11,82.87,125.24,327.56
"CASC5",82.87,106.63,73.03,126.12,50.63,78.89,197.09,177.53,187.71,72.52,151.22,73.03,146.03
"TMEM186",309.83,277.2,208.38,231.32,255,181.28,277.2,283.05,336.79,128.79,429.54,148.09,217.27
"KNDC1",18.03,56.28,7.88,19.68,6.52,12.45,3.23,12.27,1.53,27.44,9.85,17.64,2.36
"SP6",27.44,48.52,70.51,111.21,76.71,75.64,21.63,23.76,69.03,141.02,26.1,133.36,74.58
"GCNT2",52.45,159.9,426.57,193.01,123.5,154.42,52.08,454.09,155.5,21.32,146.03,223.41,107.38
"CNTNAP1",89.51,73.03,149.12,206.94,65.72,39.5,59.97,45.85,131.51,38.4,15.56,86.43,115.97
"ACACA",769.69,486.75,651.58,559.28,708.18,414.87,1151.06,1457.23,555.41,902.89,791.35,1008.9,595.34
"TBC1D1",1216.75,651.58,1096.5,759.08,529.06,579.04,1183.45,368.65,748.61,351.14,567.1,473.41,1242.34
"ADA",113.56,199.85,579.04,571.05,1119.56,575.03,769.69,450.94,429.54,753.83,1322.37,426.57,166.73
"DMWD",660.68,389.72,884.29,583.07,395.18,371.22,507.46,239.52,325.29,473.41,400.71,583.07,521.76
"WDR6",1369.04,967.76,1250.98,813.63,764.36,540.19,1331.57,733.19,842.36,1605.83,500.46,813.63,1151.06
"AKAP9",1081.39,536.45,361.04,295.11,215.77,279.14,384.34,438.59,403.5,172.65,208.38,363.56,387.02
"GULP1",473.41,185.11,264.03,155.5,41.81,237.86,124.37,403.5,503.95,62.56,551.56,454.09,135.24
"PYHIN1",27.64,24.11,137.14,64.8,65.72,8.13,14.56,13.32,22.43,43.32,11.13,34.02,37.85
"MON1B",400.71,591.22,373.81,341.51,293.07,269.6,483.38,262.2,713.11,476.71,303.44,406.31,325.29
"LILRB3",136.19,157.68,379.04,110.43,67.59,28.86,106.63,71,91.41,87.03,28.45,305.55,460.44
"ZNF57",52.82,189.02,132.44,81.14,106.63,156.59,61.25,119.26,157.68,76.17,134.3,57.49,53.57
"AL354993.1",181.28,178.77,25.91,10.08,87.65,62.12,98.73,88.88,59.97,43.63,105.89,17.64,37.59
"CR1L",9.93,6.62,9.78,28.45,73.54,1.06,10.47,1.07,5.19,3.06,4.54,1.83,10.88
"VTCN1",854.13,1685.71,17,20.56,289.02,253.23,5.73,351.14,239.52,27.44,2502.97,4.46,135.24
"ZBP1",45.53,18.56,208.38,323.03,134.3,20.11,53.95,16.27,60.82,23.08,19.82,40.07,148.09
"SERF2",32092.64,31215.04,23656.34,23169.48,26248.46,25708.25,40341.14,34158.52,20030.74,22380.2,46986.85,44761.41,48982.22
"BPIFB2",299.25,13.42,2.39,31.67,1.43,0.36,10.55,3.32,0,3.08,733.19,1.03,0.74
"CASP12",1.13,6.52,5.92,4.39,0.74,1.17,1.11,9.63,0,0,3.47,1.66,1.73
"ZNF33A",176.29,279.14,171.45,279.14,223.41,187.71,206.94,170.25,190.34,171.45,202.66,412,295.11
"ITGBL1",460.44,211.31,1745.2,1572.76,279.14,94.01,1857.6,332.14,1119.56,14.24,29.7,314.17,775.05
"ZFP28",18.7,54.72,67.59,73.54,60.39,41.81,120.94,67.12,39.5,8.19,7.4,95.34,51.71
"PTEN",780.44,785.88,500.46,457.25,595.34,753.83,579.04,493.56,698.41,1561.89,392.44,860.08,507.46
"BOLA2",387.02,480.04,406.31,426.57,99.43,332.14,414.87,470.14,389.72,332.14,738.29,583.07,633.73
"CBFA2T2",470.14,224.97,182.55,237.86,143.01,158.79,199.85,148.09,339.14,180.02,162.14,146.03,198.47
"LPXN",224.97,316.37,825,651.58,470.14,75.11,271.48,172.65,157.68,532.74,105.15,209.84,356.05
"SOX7",92.7,575.03,82.87,126.12,93.35,417.77,40.64,25.54,334.46,17.77,105.15,299.25,43.63
"PDK1",363.56,154.42,285.03,543.96,262.2,723.08,444.72,1295.13,224.97,473.41,323.03,287.01,204.07
"INO80D",35,46.84,45.85,53.95,22.59,33.06,37.85,24.99,75.11,43.63,16.15,64.8,32.59
"KDM3A",698.41,540.19,759.08,830.75,599.49,785.88,728.11,1167.14,743.43,842.36,438.59,460.44,507.46
"MSMP",3.99,2.86,4.03,5.87,1.36,5.36,11.47,0,0,3.76,1.36,8.25,10.96
