"","TCGA.22.5478","TCGA.22.5472","TCGA.60.2709","TCGA.22.5489","TCGA.22.5471","TCGA.22.5482","TCGA.22.5483","TCGA.43.3394","TCGA.34.7107","TCGA.43.6771","TCGA.22.5491","TCGA.33.6737","TCGA.90.6837"
"C2orf68",1870.53,555.41,866.07,1350.18,1896.65,518.15,878.17,1051.79,486.75,429.54,802.41,703.28,567.1
"CHMP4C",281.09,426.57,170.25,269.6,287.01,454.09,563.18,638.15,148.09,234.57,500.46,902.89,400.71
"SEZ6L2",476.71,454.09,172.65,607.87,356.05,131.51,497,450.94,796.86,204.07,470.14,112.77,836.53
"DPY19L4",271.48,281.09,253.23,285.03,149.12,343.89,346.29,379.04,267.73,118.43,287.01,305.55,239.52
"FAM35A",253.23,327.56,271.48,197.09,275.28,255,356.05,366.09,244.57,195.72,237.86,220.32,193.01
"PLA2G4C",75.11,140.04,368.65,297.17,127,143.01,118.43,140.04,189.02,101.54,124.37,108.14,193.01
"CTC-487M23.8",52.45,55.1,14.35,28.86,35.5,21.32,34.75,13.93,27.05,35.76,20.26,37.05,11.82
"E2F7",71,107.38,69.03,42.11,87.65,126.12,92.05,128.79,249.73,88.26,108.9,38.67,88.88
"VCPKMT",143.01,193.01,134.3,152.28,193.01,187.71,102.25,162.14,169.07,156.59,194.36,190.34,209.84
"GJB5",158.79,1143.1,228.13,450.94,995,1685.71,7.88,551.56,454.09,1909.85,1883.54,195.72,599.49
"ATG4C",155.5,105.15,146.03,149.12,97.36,80.01,134.3,109.66,102.25,74.06,66.65,113.56,92.7
"ABI1",896.64,1794.29,941.27,928.3,2720.15,1529.73,1023,1359.57,1286.18,1407.55,1467.37,775.05,1066.48
"FAM203B",0,0,2.97,0,2.68,289.02,84.63,43.02,0,2.01,0,1.89,0
"RHBDL1",62.56,141.02,44.89,36.01,16.88,159.9,42.71,166.73,48.87,102.97,57.08,44.57,21.47
"PERP",2645.74,8901.53,4038.61,4419.52,6337.83,16045.82,13968.57,11189.6,9808.75,16843.62,12676.65,3564.78,13492.72
"ZNF250",146.03,139.07,111.99,167.9,89.51,237.86,109.66,154.42,111.99,69.52,104.42,115.97,107.38
"NAGA",1059.11,656.11,896.64,713.11,723.08,414.87,426.57,780.44,638.15,371.22,555.41,299.25,703.28
"ZNF738",111.99,126.12,81.71,214.27,96.01,92.05,234.57,356.05,199.85,65.72,70.01,57.08,190.34
"EXT1",1870.53,1037.29,1250.98,1225.22,791.35,2047,713.11,836.53,1757.34,1350.18,1199.98,1111.82,738.29
"MROH9",3.99,7.94,0.06,1.33,0.73,0.02,3.69,0.84,0,0,7.82,1.81,0.97
"ANKRD52",221.86,241.19,301.33,258.57,248,236.21,460.44,232.94,403.5,255,156.59,348.71,457.25
"SLC37A3",813.63,454.09,579.04,497,559.28,303.44,718.08,620.67,612.11,312,409.15,633.73,808
"SFTA2",358.54,2319.15,1044.52,497,0,10.71,10.96,947.83,85.22,0,6.21,7180.15,119.26
"AFMID",830.75,1059.11,896.64,995,1167.14,830.75,1242.34,1268.46,713.11,674.59,1721.16,1151.06,934.76
"LRRC48",130.6,182.55,31.67,74.06,28.86,29.91,52.08,45.21,23.93,23.59,81.14,14.45,46.18
"TNPO1",587.13,450.94,813.63,1088.92,379.04,836.53,1175.27,642.59,728.11,540.19,507.46,1477.58,599.49
"CHIA",27.64,81.71,58.3,30.12,0,0,0.31,13.12,3.5,0,0,9.56,0.42
"LETM1",1066.48,343.89,420.68,258.57,271.48,417.77,438.59,289.02,457.25,414.87,583.07,532.74,486.75
"SNRNP40",1350.18,1037.29,813.63,1369.04,934.76,1088.92,921.88,1369.04,791.35,753.83,1208.34,878.17,967.76
"LTB4R2",75.64,256.78,60.82,31.22,84.63,629.35,11.55,93.35,728.11,909.17,147.06,3.14,132.44
"JUNB",2287.2,3124.78,6207.38,3491.39,3794.3,7382.04,1030.12,2148.82,5791.62,3060.45,3955.48,6426.31,8247.98
"ENTPD5",384.34,295.11,129.69,121.79,165.57,208.38,128.79,183.82,126.12,130.6,199.85,182.55,228.13
"GLI3",392.44,167.9,82.87,205.5,59.13,71,32.82,119.26,111.99,291.04,69.03,27.84,112.77
"TMEM135",246.28,125.24,195.72,156.59,136.19,112.77,265.87,159.9,178.77,128.79,279.14,426.57,232.94
"EXT2",1250.98,872.1,1662.49,1096.5,1199.98,1250.98,902.89,1167.14,1030.12,819.3,1519.15,780.44,638.15
"PEA15",3742.05,3235.01,4481.23,4575.41,3303,3847.29,5076.84,4095,2935.74,4123.49,3372.43,2104.58,3060.45
"GTF2H5",88.26,102.25,75.64,62.56,91.41,122.64,176.29,137.14,70.51,92.05,154.42,94.01,91.41
"TNFRSF6B",329.84,295.11,131.51,1001.93,1104.13,961.07,176.29,119.26,86.43,493.56,153.34,232.94,241.19
"WDR33",540.19,521.76,395.18,674.59,297.17,633.73,733.19,769.69,647.07,540.19,476.71,620.67,366.09
"KPNA4",525.39,669.92,567.1,785.88,921.88,1250.98,629.35,1378.57,521.76,660.68,878.17,503.95,454.09
"HDAC10",616.37,808,921.88,511,426.57,454.09,358.54,748.61,624.99,395.18,490.14,432.53,395.18
"ATP6V1G1",2816.11,4512.4,3146.52,2835.7,3874.05,5791.62,3443.31,4066.71,3491.39,2367.9,4639.29,2163.77,2451.44
"ATP13A5",17.13,25.35,1.51,9.13,56.68,7.06,1.68,24.11,0.68,0,285.03,0,7.11
"SNAP47",830.75,633.73,693.58,995,723.08,718.08,738.29,454.09,656.11,381.68,607.87,486.75,460.44
"RTN4RL1",13.03,40.36,18.29,71,43.63,11.64,2.16,12.45,49.21,31.67,25.72,10.24,4.06
"DYNLT1",2816.11,5403.7,2645.74,2855.44,4903.87,6079.61,5479.15,5292.48,3303,3280.18,7749.1,3443.31,3639.7
"RPS3",25530.66,59474.18,61999.83,84694.64,67377.47,68318.04,61571.56,130165.62,62865.33,67377.47,81809.59,131982.68,40621.74
"RBFOX1",0.52,0,0.57,1,0,0.89,22.59,0.54,1.28,0,0,0,0
"IL2",1.79,0,2.84,3.32,0,0,0.85,1.25,1.3,0,0,0.28,0
"SLC6A17",2.36,1.13,2.01,7.69,1.38,0.49,3.23,2.81,3.56,0.92,1.07,3.96,8.19
"BIN2",109.66,149.12,366.09,267.73,177.53,51.71,112.77,63,108.9,77.79,44.57,133.36,234.57
"MSH3",82.29,107.38,105.15,145.02,55.1,78.89,146.03,65.72,87.03,107.38,132.44,124.37,167.9
"BCL3",796.86,1721.16,1733.13,1628.26,2018.8,1594.73,583.07,1250.98,1175.27,3280.18,1183.45,4152.18,2468.49
"TAS2R10",1.73,1.73,1.07,0.64,2.03,0.58,0.56,0,0,0,0,2.36,2.01
"CCDC24",283.05,307.69,159.9,265.87,323.03,181.28,379.04,387.02,166.73,236.21,303.44,124.37,205.5
"NOTCH3",796.86,1963.57,1936.53,967.76,1617,2367.9,1216.75,1769.57,2956.17,2163.77,1340.84,1583.71,3690.52
"TGM3",12.36,69.52,115.16,0.58,373.81,108.14,332.14,48.52,72.01,195.72,253.23,74.58,6.01
"SIN3B",447.82,599.49,607.87,450.94,339.14,187.71,518.15,249.73,836.53,607.87,334.46,486.75,1023
"RBMX2",511,480.04,603.67,414.87,638.15,450.94,842.36,684.02,796.86,309.83,612.11,543.96,693.58
"KCNIP3",20.86,63.45,34.75,81.14,131.51,72.52,10.08,32.36,34.26,24.99,20.11,10.79,62.56
"HCN3",29.48,38.95,49.91,102.97,53.19,36.79,68.07,73.54,57.08,40.93,29.7,22.92,81.14
"PPIC",1427.22,866.07,1286.18,1225.22,1127.35,616.37,967.76,2367.9,1135.2,1378.57,1295.13,796.86,1963.57
"TCP11L1",169.07,147.06,135.24,146.03,110.43,120.1,89.51,138.1,142.01,769.69,76.17,59.13,150.17
"WDR34",854.13,1159.07,753.83,1151.06,1467.37,1044.52,1151.06,1051.79,1857.6,1066.48,921.88,1151.06,902.89
"CMIP",928.3,1242.34,954.43,651.58,595.34,1651,551.56,796.86,1651,1250.98,743.43,825,1508.65
"EVA1C",466.88,1268.46,384.34,825,441.64,366.09,189.02,500.46,514.56,336.79,406.31,842.36,307.69
"TASP1",480.04,236.21,224.97,163.28,147.06,277.2,295.11,172.65,279.14,121.79,148.09,155.5,94.67
"NAMPTL",124.37,40.36,525.39,181.28,180.02,79.45,231.32,155.5,6.46,327.56,186.4,2451.44,157.68
"NPEPL1",255,607.87,713.11,457.25,575.03,551.56,780.44,521.76,480.04,403.5,426.57,384.34,1104.13
"MARCKS",1605.83,1844.76,2004.85,2119.22,1015.93,2537.92,1896.65,1561.89,1540.37,432.53,1467.37,981.29,1457.23
"SEPT6",842.36,214.27,830.75,738.29,738.29,138.1,547.75,283.05,339.14,536.45,185.11,229.72,389.72
"NME9",27.44,60.39,13.32,8.85,6.46,1.79,9.2,10.71,2.56,21.16,54.33,1.17,5.32
"AREGB",0.83,0.84,5.82,0,8.92,7.88,5.63,4.31,0,11.82,0.48,4.54,13.72
"GPR62",9.56,1.23,0.37,0.39,2.58,1.91,0.32,8.92,2.94,0,1.17,0.69,1.43
"SEPT11",1111.82,733.19,1127.35,753.83,466.88,642.59,796.86,656.11,830.75,518.15,599.49,343.89,733.19
"ALS2CR11",42.41,3.89,3.35,20.11,2.48,2.36,12.27,12.93,52.82,18.16,24.11,2.51,10.16
"TMEM200A",55.1,45.21,156.59,551.56,32.59,32.59,186.4,98.73,81.71,25.91,6.78,73.03,65.26
"EXOC3L2",56.68,48.18,59.13,90.77,37.85,33.54,43.94,22.59,59.55,56.68,23.08,71.5,41.81
"COL15A1",583.07,267.73,1111.82,1037.29,181.28,220.32,1167.14,199.85,780.44,239.52,73.54,595.34,470.14
"KIF6",8.99,33.06,5.5,19.82,57.89,7.63,12.36,12.09,2.05,9.2,14.67,1.81,1.58
"GNB2",13968.57,8479.89,6745.86,4268.94,12676.65,8421.31,7382.04,6699.25,6699.25,9474.59,5995.9,6079.61,7589.61
"SERTAD4",146.03,253.23,118.43,70.01,81.71,142.01,28.86,173.85,191.67,41.81,85.22,9.34,59.55
"AP5Z1",1135.2,708.18,884.29,444.72,629.35,1286.18,343.89,500.46,441.64,1088.92,480.04,642.59,981.29
"PRC1",1135.2,1104.13,1477.58,1883.54,1119.56,2104.58,3018.3,1662.49,2875.3,941.27,1304.15,2193.99,3515.68
"ARHGAP32",147.06,486.75,109.66,120.94,92.7,183.82,293.07,195.72,206.94,197.09,299.25,104.42,361.04
"PMEPA1",463.65,559.28,743.43,1427.22,507.46,1304.15,769.69,258.57,356.05,1923.14,107.38,1250.98,785.88
"ATAD1",518.15,603.67,429.54,454.09,432.53,703.28,674.59,612.11,547.75,551.56,813.63,450.94,466.88
"PTAFR",93.35,368.65,395.18,236.21,118.43,26.86,159.9,90.77,163.28,854.13,112.77,121.79,231.32
"LPAR6",381.68,660.68,417.77,438.59,466.88,339.14,323.03,842.36,242.88,248,860.08,183.82,307.69
"RAB26",33.78,113.56,32.36,17.9,5.82,23.08,50.98,80.01,9.34,2.01,73.03,46.84,49.56
"PAPSS1",1407.55,1216.75,753.83,1001.93,579.04,486.75,1639.59,872.1,684.02,444.72,457.25,397.93,536.45
"PAPLN",242.88,237.86,607.87,193.01,234.57,269.6,33.3,157.68,124.37,269.6,45.53,162.14,392.44
"FOXP1",314.17,441.64,339.14,400.71,155.5,113.56,301.33,163.28,258.57,780.44,96.68,470.14,497
"MTNR1A",0.38,0.67,1.77,0.44,0,0.39,3.14,0,0,0,0.92,1.07,0
"CPNE4",6.11,8.92,4.74,6.26,2.78,5.5,1.69,13.12,0.83,0.51,35,3.23,8.45
"BTN3A2",366.09,536.45,567.1,1167.14,713.11,226.54,674.59,320.8,638.15,612.11,217.27,454.09,376.41
"MYO9B",967.76,1427.22,2682.69,1295.13,988.12,486.75,1295.13,480.04,1950,1104.13,514.56,1183.45,2287.2
"STK36",470.14,463.65,307.69,178.77,265.87,161.02,583.07,220.32,316.37,163.28,96.01,483.38,218.79
"GSTA4",323.03,1175.27,759.08,884.29,791.35,1617,1233.75,3982.99,1745.2,460.44,3235.01,211.31,281.09
"GPIHBP1",9.13,147.06,40.07,28.86,2.73,0.88,7.11,2.43,14.35,2.05,2.18,101.54,22.59
"SLC9A8",314.17,361.04,158.79,147.06,117.6,133.36,129.69,105.89,109.66,90.14,124.37,116.78,149.12
"ITGAX",211.31,420.68,2148.82,346.29,175.07,70.01,336.79,231.32,256.78,111.21,59.13,483.38,1242.34
"UQCRH",8963.45,7032.37,5711.87,9673.69,8479.89,11035.54,14361.31,10225.32,6337.83,7803.01,19754.96,14163.58,10733.74
"NARS2",201.25,255,205.5,249.73,314.17,185.11,808,303.44,255,182.55,295.11,438.59,204.07
"ELMSAN1",361.04,493.56,400.71,329.84,226.54,329.84,181.28,199.85,336.79,629.35,144.01,389.72,312
"SEPT1",0,17.25,76.71,85.22,93.35,0,4.9,0,0,17.13,2.58,26.67,64.8
"RBFOX2",1167.14,1001.93,665.29,450.94,595.34,753.83,620.67,1259.69,1073.91,769.69,854.13,665.29,1023
"GPR88",51.35,1.39,6.78,11.13,1.01,1.45,2.34,3.17,1.51,0.47,0.39,0.82,2.36
"CTSD",12589.08,25354.3,60304.42,15824.9,10296.45,13492.72,12502.12,9876.98,14971.21,12853.63,13872.08,12943.04,29124.6
"ACTN2",1.99,16.63,10.88,10.79,3.38,1.23,11.21,12.93,2.56,2.76,3.76,3.47,4.5
"MUC4",136.19,2976.74,131.51,25.91,136.19,40.93,31,105.15,112.77,4.58,684.02,6381.92,591.22
"C19orf38",40.36,40.07,127,92.05,57.89,9.93,57.89,36.01,33.3,25.72,28.65,38.12,109.66
"SKAP1",52.08,55.1,291.04,277.2,466.88,20.11,503.95,397.93,176.29,61.25,144.01,99.43,96.68
"CLEC9A",3.56,12.93,6.84,5.32,8.25,0.66,3.26,4.98,1.01,1.1,2.32,1.38,2.14
"CEP170B",525.39,693.58,303.44,212.78,423.61,633.73,159.9,307.69,620.67,954.43,323.03,529.06,547.75
"AK5",11.82,7.75,21.63,8.92,5.96,6.84,18.29,4.7,4.21,30.56,1.33,4.98,10.39
"CEP89",301.33,265.87,318.57,376.41,305.55,281.09,457.25,490.14,543.96,239.52,221.86,190.34,249.73
"RGPD6",239.52,105.15,159.9,177.53,110.43,136.19,193.01,165.57,141.02,80.57,80.57,178.77,166.73
"CEP85",249.73,273.37,373.81,343.89,195.72,426.57,507.46,371.22,314.17,163.28,211.31,285.03,348.71
"SHARPIN",1639.59,1295.13,1304.15,1457.23,1199.98,1605.83,1350.18,1015.93,842.36,1073.91,890.44,2209.26,1857.6
"CCNI",6699.25,2956.17,3716.2,4123.49,2018.8,4268.94,2875.3,3257.52,3190.46,3372.43,4010.71,3280.18,3372.43
"PIP5K1B",127,102.97,85.82,131.51,28.04,19.39,54.72,105.89,23.42,3.44,62.56,41.22,17.51
"SMIM6",8,90.77,10.39,3.96,2.41,0.64,1.43,417.77,1.87,0,12.27,66.65,5.32
"ELANE",3.82,18.56,11.3,1.93,2.66,4.54,5.92,6.84,4.13,0,3.17,8.45,6.89
"NDUFV1",2997.45,3614.55,3372.43,2520.38,3280.18,3280.18,2997.45,2664.15,3491.39,4419.52,3212.66,4328.55,2537.92
"TMEM132B",2.16,5.28,0.43,18.7,1.51,9.2,13.42,1.97,7.82,3.23,5.82,2.1,33.78
"CALCRL",500.46,414.87,176.29,277.2,115.16,316.37,143.01,291.04,361.04,81.71,255,241.19,80.57
"ZNF616",72.52,142.01,80.01,115.97,53.19,72.52,107.38,83.45,116.78,67.59,80.57,109.66,79.45
"KHK",327.56,58.71,169.07,387.02,463.65,77.79,708.18,153.34,146.03,29.48,66.18,121.79,157.68
