"","CNV_20q","CNV_20p","CNV_Xq11.2","CNV_14q","CNV_17q24.3","CNV_7q36.3","CNV_12p","CNV_12q","CNV_7q","CNV_7p","CNV_9q","CNV_3p21.32","CNV_10p","CNV_10q","CNV_16p","CNV_16q","CNV_22q","CNV_1q","CNV_1p","CNV_14q31.1","CNV_3q26.32","CNV_8p23.2","CNV_3q","CNV_3p","CNV_5q","CNV_5p","CNV_1q43","CNV_Xq23","CNV_4q34.3","CNV_18q","CNV_8q24.22","CNV_1q24.1","CNV_2q37.3","CNV_17p","CNV_15q","CNV_9p21.3","CNV_21q","CNV_13q13.3","CNV_19q","CNV_19p","CNV_6q26","CNV_6p","CNV_6q","CNV_13q","CNV_Xp22.2","CNV_11q","CNV_11p","CNV_1q32.1","CNV_8p","CNV_8q","CNV_17q","CNV_3p25.3","CNV_5q35.1","CNV_Xq","CNV_2p","CNV_2q","CNV_1p36.23","CNV_1p31.1","CNV_10p14","CNV_4p","CNV_4q","CNV_4q32.1","CNV_10q23.31","CNV_9p23","CNV_3p12.2","CNV_3q11.2","CNV_Xp11.4","CNV_9p","CNV_18p"
"TCGA.B0.5696",0,0,0.040244,0,0.34811,0.016971,0.325,0.325,0,0,-0.353,-0.55412,0,0,0.291,0.291,0,0,0,-0.0017434,0.13273,-0.28757,0.133,-0.421,0.369,0.369,0.0038046,0.038291,-0.0083111,0,-0.28757,0,-0.0051356,0,0,0.0031103,0.187,-0.09744,0,0,0.010334,0,0,-0.104,0.040244,0,0,0,-0.288,-0.288,0,-0.55412,0.92744,0,0,0,0,0,-0.01114,0,0,-0.0083111,-0.01114,0.0031103,0.13273,0.13273,0.040244,0,0
"TCGA.CW.5581",0,0,-0.00027724,0,-0.0095426,0.0015255,0,0,0,0,0,-0.5294,0,0,0.507,0.507,0,0,0,-0.00069303,0.014609,-0.0042787,0,0,0,0,0,-0.00027724,0.0061017,0,0.0029133,0,0.0063871,0,0,-0.0018014,0,0.006109,0,0,0.016565,0,0,0,0.00056613,0,0,0,0,0,0,-0.5294,0.52485,0,0,0,0,0,-0.5244,0,0,0.010703,-0.0063668,-0.0018014,0.013074,0.013074,0.015727,0,0
"TCGA.CW.5580",0,0,-0.0051227,-0.419,-0.0078863,0.00458,0,0,0,0,-0.428,-0.5849,0,0,0,0,0,0,0,-0.41886,0.017963,-0.00013862,0,-0.585,0,0,0.006109,-0.0051227,-0.21627,0.122,-0.00013862,0.006109,0,0,0,-0.42844,0,0.0048579,0,0,0.010285,0,0,0,-0.0051227,0,0,0.006109,0,0,0,-0.59039,0.0086135,0,0,0,-0.24277,0.006109,0.0019418,-0.216,-0.216,-0.21627,-0.0020784,-0.42844,-0.5849,-0.5849,-0.0051227,-0.428,0.122
"TCGA.CW.5585",0,0,-0.017194,0,-0.031632,0.015028,0,0,0,0,0,-0.78496,0,0,0,0,0,0,0,-0.0089906,0.023847,0,0,0,0.824,0.824,-0.78872,-0.017194,0.029044,0.736,0,0.0034687,0.011958,0,0.708,-0.013677,0,0.0079175,0,0,-0.7896,0,-0.764,0,-0.017194,0,0,0.008892,0,0,0,-0.81639,0.78697,0,0,0,-0.01485,-0.01485,-0.007472,0,0,0.029044,-0.007472,-0.013677,0.023847,0.023847,-0.017194,0,0.736
"TCGA.CW.5584",0,0,-0.063347,-0.542,-0.0043401,0.013794,0,0,0,0,-0.224,-0.54404,0,0,0,0,0,0,0,-0.54172,0.017216,0.018475,0,-0.544,0,0,0.0018944,-0.061366,0.010377,0,0.018475,0.0018944,-0.00351,0,0,-0.22383,0,0.0021887,0,0,-0.54112,0,-0.495,0,-0.063347,0,0,0.0018944,0,0,0,-0.54404,0.0053962,0,0,0,0,0,0.0006459,0,0,0.010377,0.0006459,-0.22383,-0.54404,0.017216,-0.063347,-0.224,0
"TCGA.CW.5587",0,0,0.051103,-0.478,0.013911,0.00055459,0,0,0,0,0,-0.48155,0,0,0,0,0,0.455,0,-0.47786,-0.0044312,-0.0077482,0,-0.477,0.462,0.462,0.45603,0.042879,-0.014641,0,-0.0077482,0.45603,0.41346,0,0,0.001803,0,-0.013264,0,0,-0.010881,0,0,0,0.038771,0,0,0.45603,0,0,0,-0.48155,0.45496,0,0.413,0.413,0.00083195,0.00083195,0,0,0,-0.014641,0,0.001803,-0.48155,-0.0044312,0.038771,0,0
"TCGA.B0.5709",0,0,-0.0273,0,0.0070431,-0.0069587,0,0,0,0,0,-0.32766,0,0,0,0,0,0,0,0.0016371,0.0014861,0.0013474,0,-0.263,0,0,0.0020411,-0.0273,-0.24084,0,0.0013474,0.0020411,0.0027351,0,0,-0.00059379,0,-0.0010768,0,0,-0.0026715,0,0,0,-0.0273,0,0,0.0020411,0,0,0,-0.32766,0.24068,0,0,0,-0.32104,0.0016704,-0.0080636,0,0,-0.24084,-0.0083397,-0.00059379,-0.32766,-0.0043185,-0.0273,0,0
"TCGA.B0.5703",0,0,-0.064738,0,0.014692,0.6072,0,0,0.607,0.607,0,-0.63979,0,-0.629,0,0,0,0,-0.63,0.01562,0.001803,-0.0040162,0,-0.639,0,0,-0.64443,-0.064738,-0.0054343,0,0.63299,0.0095883,-0.0053992,0,0,0,0,-0.0081624,0,0,0.0023581,0,0,0,-0.064738,0,0,0.0075307,0,0,0,-0.63916,-0.0020784,0,0,0,-0.62979,-0.62979,-0.0098185,0,0,-0.0054343,-0.64358,0,-0.63869,-0.63869,-0.064738,0,0
"TCGA.CW.6090",0,0,-0.1517,-0.673,-0.022463,0.012795,0,0,0,0,-0.321,-0.6749,-0.321,-0.321,0,0,0,0.333,0.007,-0.67304,-0.29945,-0.32794,-0.299,-0.653,0,0,0.34219,-0.1517,-0.29922,0,-0.31307,0.33304,-0.31213,0,0,-0.32089,0,-0.30956,0,0,0.025671,0,0,-0.31,-0.1517,0,0,0.34795,-0.328,-0.328,0,-0.6749,0.03637,-0.152,0,0,-0.326,-0.326,-0.324,-0.309,-0.309,-0.29922,-0.321,-0.32089,-0.29945,-0.29945,-0.1517,-0.321,0
"TCGA.B0.5705",0,0,-0.1067,0,0.014051,-0.011887,0,0,0,0,0,-0.62245,0,0,0,0,0,0,0,0.0015255,0,-0.019285,0,0,0.626,0.626,0.0055529,-0.1067,-0.014046,0,-0.007472,0.0055529,-0.0032749,0,0,0.002015,0,-0.0080244,0,0,-0.0030475,0,0,0,-0.1067,0,0,0.0055529,0,0,0,-0.64924,0.6257,0.373,0,0,0.0055529,0.0055529,-0.01243,0,0,-0.014046,-0.0024938,-0.0074073,0,0,-0.1067,0,0
