"","FC","rawPvalue"
"IPO5",-0.45313445910468,0.000261547238097364
"C8B",4.00669787542179,8.26281862663173e-09
"CCL3L1",0.564008537215646,0.344662455128792
"ANKRD33B",-0.645616608846152,0.0345094573036436
"DGKD",0.953410295365458,1.76596269781643e-07
"TMPO",-1.11869552968649,2.29555167217845e-09
"LY86",2.29733327688216,4.81484703087144e-17
"LDOC1",-0.372490680161862,0.129629445551387
"MAD2L1",-3.34005343975561,8.27893173553169e-10
"BHMT2",0.2378779099362,2.81328666179376e-07
"BAI1",-1.20692955767228,0.490059969429696
"TOMM70A",-0.923953971855898,7.78873351726535e-10
"MRI1",-0.403679438497091,0.000117320704426747
"ARAP1",0.873668843435144,8.69946722966323e-15
"DZIP1",-0.368328980055233,0.106940716277628
"VDAC3",-0.673894142263507,1.52957264107439e-06
"RBM42",-0.412448286784286,6.17267413816717e-05
"MROH7-TTC4",0.57816680299954,0.00933796808616621
"ZNF2",-0.412710302447195,0.0688117693106972
"ATP8B2",0.522142007489981,0.000171769149444267
"MMADHC",-0.414103353112335,1.94490464763035e-06
"SIK3",0.405149549372867,7.51135912700067e-05
"GOLIM4",-0.440541329764764,0.000319419952281794
"FLJ20306",-0.646148192913842,0.000241125255644004
"TSHZ2",-1.03592568479202,8.36312089799492e-06
"ADAM11",-1.78247883536567,1.3228314710996e-06
"SPCS2",-0.0820256091460951,0.146932574100185
"SNX18",0.620265971475601,3.55527360899236e-12
"KIF17",2.71646727137757,8.27893173553169e-10
"PARP11",-0.274658978163566,0.100785505844799
"RAB42",0.0677674440766314,0.865714831900636
"ACP6",-0.159979552226179,0.206022103290579
"IL7",1.02235182701971,2.78783262057065e-08
"RBPMS2",1.02800353710165,1.95973184466089e-07
"AGTR2",3.56037059999833,1.42490199730089e-09
"PLA2G4D",-2.05586882539704,3.14136654703772e-05
"ANKRD20A4",-0.202806317183434,0.2695252418811
"MTDH",-0.412110064560975,3.27986079779824e-05
"MT-CYB",0.938120534520714,4.16452444270929e-09
"TRIP6",-0.515448400968475,1.6913083941205e-05
"CES1",0.150798886019848,0.155889697097653
"CYSLTR1",1.9542848907518,2.74070948622951e-09
"TBL1Y",-0.460295687011313,0.389827344173643
"SH3BGRL",1.29567401309241,1.72220661747015e-20
"TAF15",-0.333681766089802,5.12906543486247e-05
"NMU",-5.0617711211021,2.90698422155078e-09
"IL17REL",-2.85736389383766,0.0210589043341969
"AC079354.1",3.22056891880802,5.92819164247848e-07
"NPIPA1",0.260667156228896,0.00925204943535604
"DNAJA3",-0.725502520853103,2.41079146089218e-08
"TIAF1",0.238756260660531,0.00207420846605063
"KAT5",0.458727144905078,3.85274375330935e-13
"CPNE9",1.50515953218793,9.69851467045682e-10
"KIAA0895",-0.234705546620621,0.475015342720792
"CHORDC1",-1.1156610312194,2.15714149891596e-08
"IL26",0.963048576057912,0.0364170264451027
"TLR10",1.4643605824583,0.101789312464208
"ELP3",0.163762946358966,0.0408123051880902
"SLC38A11",-2.82683409273944,0.984596552896538
"RIOK1",-0.865985126430276,1.36377644611701e-12
"HIBCH",-0.303213968569382,0.0138324207211816
"OGFOD1",-0.394268244877686,0.0002560457178349
"RRH",0.370217171097578,0.00257786242554687
"ALDOB",0.147413885138659,2.46858401254891e-05
"CSNK1G2",-0.428169674637445,3.06330439142182e-06
"ADIPOR2",-0.0197403858794729,0.818514341203894
"GNA14",2.65268036795545,4.20110510299381e-22
"CCDC68",2.25494693782503,6.3356358627465e-20
"ZNF564",0.463818909552386,4.2388581969694e-06
"ANKRD6",0.412318156356049,8.19797146950273e-05
"NDUFS3",-0.3521133067867,0.000441756190851311
"EFCAB4B",-0.513127598890724,0.00114118783848633
"DLGAP1",-0.688343031103122,0.175003273587899
"STRN",-0.478826365673195,1.55950028253289e-06
"SCARF2",0.663362961531061,1.89142621698825e-05
"C5orf22",-0.978266323247137,2.58371048370815e-09
"PTPN2",-0.152525613962858,0.0567181508250128
"FBXO45",-2.22591151580339,7.79049220721842e-10
"TOP2B",0.190143023990013,0.0114636490091828
"ZNF16",-0.642080167893426,8.74899637644469e-09
"CYP2F1",1.7611782224663,6.84578170793499e-06
"AMIGO1",1.38368507092639,1.38002799830386e-15
"SOX11",-5.39562349116663,5.30190002919024e-08
"STX16-NPEPL1",0.749528839907252,0.000134595755180443
"PPDPF",0.189631697004351,0.0473119549848177
"ESPN",-2.87314398640506,5.52349441012722e-09
"LAPTM4A",0.401747511990877,1.24743636103128e-10
"KCNK3",3.94180015620602,7.79049220721842e-10
"FABP7",-8.53601726636023,1.85107996529312e-05
"PDE2A",2.40023074301876,1.81008760543322e-09
"TTLL11",0.951028199171307,2.58316241791341e-09
"FBXO38",0.782270268696751,9.48014690092699e-19
"ANKMY1",0.802429277671759,6.45606147599059e-09
"GTF2IRD1",-1.33840124124732,7.79049220721842e-10
"BIRC6",-0.230292284728401,0.000105448225154685
"EIF1AY",0.588186037732042,0.000793132544007514
"SEC22A",-0.551537745069339,1.854004404664e-06
"ZC3H15",-0.556671628596472,1.93755666204879e-09
"DHCR24",1.29475852235699,3.46418564586824e-15
"ZDHHC2",0.449769967755177,0.00276687810510856
"C1orf220",-1.57324661741984,3.17430191368811e-05
"GLG1",-0.362145726727578,0.000244220248656818
"CBR4",-0.0514253841542116,0.720963561834473
"DKKL1",-0.986462786512178,0.0086373047149478
"AK3",0.500363588164413,5.97173184678198e-06
"CNPY3",-0.109845279225057,0.177143092368107
"RELT",0.102570930784909,0.362288639393171
"HEATR2",-0.907483772820468,1.34222833955637e-09
"TSTD2",-0.0385267237255755,0.779519639330699
"PRKX",-1.63935897910483,8.26281862663173e-09
"PARD6A",0.507158294664204,0.00010013220697745
"ANKRD18B",-4.18513984663081,4.1313472067693e-09
"GKN2",5.27119406182717,4.44085312084327e-25
"FAM89B",-0.176120460871198,0.0198244260119858
"RABL2B",0.524605941629707,1.3992718911716e-05
"PFN4",-0.679529080351982,0.000286837144598893
"EPS8L3",-2.91141444351418,0.463768738909588
"RPS6KL1",-0.2706106172207,0.690709955770514
"HDAC2",-1.18272037638626,7.79049220721842e-10
"TMEM182",-1.42062817607593,7.79049220721842e-10
"ARNT",0.461038329502546,2.58704546629954e-06
"CHDH",1.22974368519777,1.10045092764477e-07
"PRRG4",-1.00307724085348,2.56696988045444e-05
"UVRAG",0.332669346294496,6.83522553418921e-05
"C16orf96",1.4153482128823,2.1736244357434e-07
"KCNQ4",0.239820554405593,0.0233302321938423
"SMIM8",-0.311186335295281,0.0264015241133303
"MFAP5",-1.35080793094831,0.153094720900841
"DYNC2H1",0.837060859327984,4.80798190205314e-08
"THAP9",-0.139251186036201,0.653518171901283
"C17orf53",-3.3979217542041,4.39811848933141e-19
"IST1",0.273103420422167,2.48404465666477e-05
"SLC39A10",-0.606252045561794,4.34474626874798e-05
"ZNF675",-0.394529246331118,0.0367138563627041
"MAPK1",-0.354690125130723,0.0120781615488378
"TSR2",0.0540974981308313,0.102805081195097
"RIMBP2",-1.92172245936677,0.0010127502662589
"AL136218.1",0.410027493520833,0.0367138563627041
"BUB1B",-4.03740613105219,8.27893173553169e-10
"CHST10",0.0701396437928583,0.117857227957374
"GABRR1",-6.25521740160636,6.57739285864707e-09
"LCAT",1.24395790421956,1.11051873962115e-13
"AKR1C3",-2.493409609302,0.000961963154311404
"IP6K3",0.261831024799259,7.16340477762483e-06
"DAPK3",0.319334806549215,0.00124066726433055
"ZP2",2.04017857296766,2.54831081146469e-05
"SETDB1",-0.512516306245573,1.38856254833826e-06
"GRIA2",-3.09052878449932,0.000231015046259099
"NODAL",-0.532243921265813,0.837468799390766
"SLC6A9",-0.162015882923311,0.111830709237131
"ZNF17",0.0887982310941213,0.0572109223412036
"GPR35",-0.0799561579363104,0.0407076861351475
"C20orf112",0.184015569842786,0.00344518836613166
"AEBP2",-0.834515460741775,4.64150644319947e-09
"ABTB2",-0.98235339846524,0.00103031667689717
"EXOC3L4",0.0755305882336881,0.000263325268073385
"RP11-77K12.7",0.917660686588622,0.000282420967307625
"CLEC11A",-0.373469399549267,0.115606692176177
"IL20RB",-4.99677221277289,8.27893173553169e-10
"UBQLN4",-0.63556679373837,1.34222833955637e-09
"ZFYVE9",0.617637291559009,2.31636824434276e-08
"AGPAT4",0.550506724755626,1.68587575973153e-05
"PSME1",0.420581844183086,1.00346028731966e-05
"SCAMP1",-0.23101050219981,0.00647028089131523
"TRAM2",-0.322675097657314,0.020515343982746
"PPP2R1B",-0.25093830306419,0.00923107099574036
"INO80E",-0.0125901916085667,0.790212803883064
"ATG5",-0.268391132974752,0.0033398145023608
"H2AFV",-0.812569144873065,6.66031213506939e-09
"ZNF232",-0.0366524827823707,0.324731081537408
"SLC12A3",-2.33061938414814,0.073339124485737
"KARS",-0.411439931915449,6.97857086948527e-09
"NAP1L2",0.0432456927776288,0.781170579127945
"ZNF440",-0.103777114124949,0.582156908032236
"C1D",-0.0402679050867363,0.583712144696982
"GFER",-0.0697516973712258,0.23172592479441
"ANKRD2",-1.70228788092166,0.000529193301161068
"NFIB",0.794728121897943,1.8087100310098e-05
"SRC",-0.333660480812325,8.79113642028942e-05
"EIF4EBP2",0.636237762683418,5.36869868283559e-11
"EPHA7",-2.68793014041724,0.00235963995691637
"BANK1",2.14084044714037,1.05491281837673e-09
"SGSM3",0.087335748395855,0.30655427849048
"TMEM26",0.228878395751634,0.227947496919451
"RNASEL",0.482265637094275,6.92997379244892e-07
"FAM84A",-2.33309261722831,9.8061830264e-09
"TOMM40L",-0.129341518751123,0.105700952209651
"CEP128",-0.836935014547628,2.56220725856687e-09
"RPP21",-0.818423267314607,4.79986587047262e-10
"CCDC104",0.342206052965022,8.53408418819579e-05
"SLC4A7",-0.42532228350769,0.0120781615488378
"SFMBT2",0.650566087482259,2.62207236387253e-05
"IGSF1",-2.57506675548967,6.80616842792248e-08
"FAM189B",-1.26509389201346,7.79049220721842e-10
"SLC36A1",-0.677609316915971,8.86855974263722e-07
"CHI3L2",3.08977986979645,1.51319260934015e-09
"TMEM8A",0.217510238200996,0.0151148803377162
"SLC30A1",0.0639727537632053,0.594588400964586
"DPYSL2",2.591108800771,1.67556206051021e-26
"FNDC1",-2.13779472254812,1.03660595360911e-06
"LGALS2",1.49061839101827,3.43009058766818e-06
"AGXT",-1.52276158167962,0.896881897345879
"ZNF354A",-0.313539850865729,0.0666357456918139
"ESM1",1.22608527553337,0.445696606424916
"FAM179B",0.356955887264286,5.92535455972131e-05
"SPAG4",-1.36828306814639,1.59591656448153e-05
"HRH2",-0.098951965168939,0.0111229483293681
"C3orf58",-0.754503823219004,0.00159608034278819
"ABT1",-0.189138523171559,0.0130810755386994
"TNC",-2.0715152863088,9.38967162773651e-07
"ARNTL",0.320176428303983,0.0148524477982531
"KCTD15",-0.762303804223976,1.2258709684729e-05
"CARD11",-0.984868528546923,0.0376187680770807
"CIDEB",-0.0451434440748759,0.70644996499933
"POGLUT1",-0.631782970108719,1.86010561402914e-07
"ETS2",0.834548049828435,5.17509156170478e-07
"SIVA1",-0.366945214591366,0.000669008156465529
"ITFG2",0.0917954198077027,0.158723222877608
"C8orf4",2.1771652407056,8.79719397863617e-10
"DLL1",-0.391318268800199,0.602173787180205
"PDDC1",0.0204507850548321,0.469068251816894
"CXADR",-1.05340328146705,3.27330247270532e-06
"MIB1",-0.655757516009524,9.38967162773651e-07
"ELOVL6",-1.5485559993072,2.28054594243154e-08
"ADAMTS10",0.959356795820504,1.23221088576933e-07
"RHOF",0.668174896329852,6.91860936080235e-06
"APLP1",-0.321070599615265,0.757393855946916
"MOSPD2",0.650502475559263,3.54734318257859e-08
