"","Fold.change","Gene"
"499",0.0678721696728397,"TRMT10B"
"500",0.119511673073401,"WBSCR16"
"501",0.0955665122332316,"TCTN3"
"502",0.0325066536320122,"U2AF2"
"504",0.289036774679683,"ALKBH5"
"505",0.0933734489337432,"SEMA3C"
"506",0.361041321991729,"AC008948.1"
"508",0.469578173967924,"ZFP92"
"511",0.541665498554615,"UBA7"
"518",0.0434641099265747,"ORC3"
"520",0.335044816364917,"FCHSD2"
"522",0.533688666010594,"EEF1D"
"524",0.062676397112801,"WDR83"
"525",0.195457417499492,"METTL16"
"528",0.0920438069693716,"PSMD14"
"529",0.088772422914472,"MORN1"
"531",0.269498761522955,"CEBPG"
"532",0.151551168750803,"ASTE1"
"536",0.518015852011747,"TFB2M"
"538",0.370998559451158,"SLC12A8"
"541",0.293439026098694,"CAST"
"542",0.105597821684151,"TRMT13"
"543",0.334162550748115,"GUCD1"
"544",0.0630727272967464,"POLR3F"
"545",0.306188902687966,"COMMD5"
"547",0.02188595405066,"MRPS33"
"548",0.179237925013398,"MLLT10"
"549",0.164277998025651,"CALML6"
"551",0.0752903516646697,"RAB6A"
"554",0.106661512093876,"TBC1D8"
"556",0.0685455027930203,"GABRA3"
"558",0.110063955171357,"GNAI3"
"559",0.298822448455755,"ST7-OT4"
"561",0.0709217918026521,"MAD2L2"
"562",0.434039927835149,"RIBC2"
"569",0.510145611480205,"VPS37D"
"574",0.172827045066613,"RBM38"
"575",0.113047973227143,"CTBP2"
"576",0.447466059344116,"CUL3"
"577",0.0132141871779776,"PIGX"
"578",0.00452247229837255,"C7orf55-LUC7L2"
"581",0.512055195267816,"PBRM1"
"582",0.323054795577567,"NIPA2"
"583",0.552504464951969,"MCTP1"
"584",0.494158850122664,"ARID1B"
"585",0.226695142876078,"CDCP2"
"586",0.515199648001041,"LHX6"
"589",0.258126633069661,"STRN3"
"590",0.412039926609992,"ZNF250"
"592",0.017852626354939,"KDM6A"
"593",0.389416125620981,"PRRC2C"
"594",0.0117606894040954,"ECM2"
"599",0.12728140649471,"C19orf53"
"601",0.11995328166371,"RWDD3"
"603",0.480359350100142,"KIF26A"
"604",0.111949394331786,"NUDT14"
"606",0.370598894123471,"SMARCA4"
"607",0.308400391382801,"RBM12"
"611",0.290299107129572,"GPX4"
"612",0.347424562552614,"NT5DC1"
"613",0.239037780516094,"LAMTOR2"
"615",0.318400338864549,"TTC33"
"619",0.189620098059855,"WWP2"
"620",0.255889613814825,"RAVER1"
"622",0.170559653703623,"GOLGA8Q"
"623",0.166221919331615,"GOLGA8R"
"624",0.135275259632399,"PHTF1"
"626",0.158993295136128,"RSF1"
"629",0.169124589481447,"RAB13"
"630",0.272854035285789,"CDC42SE2"
"631",0.533319548321919,"GREB1L"
"633",0.0120512272347693,"SNW1"
"635",0.257548866750064,"WDPCP"
"637",0.516619954383087,"NTS"
"640",0.0288564159832738,"SETD8"
"641",0.141828312795368,"MVB12B"
"642",0.348368964118665,"PFDN1"
"643",0.235596125197086,"PLD1"
"646",0.417314488381706,"PKN3"
"647",0.1495709678438,"FGF14"
"649",0.53226590875747,"SMIM14"
"651",0.199064723668788,"CPA5"
"652",0.453249171487675,"DDX56"
"653",0.22273913135251,"C11orf91"
"654",0.207701764314228,"SYCP2L"
"657",0.353139180457905,"LASP1"
"658",0.133565845188374,"OR2T29"
"659",0.183779230403394,"FURIN"
"662",0.524071138102844,"GDF5"
"663",0.295557780638057,"TADA1"
"664",0.354221632487961,"YWHAB"
"667",0.0997149321248161,"IGSF1"
"668",0.583690459285553,"SLC6A20"
"670",0.493326703241086,"PLK3"
"671",0.38958404379403,"RP11-598P20.5"
"672",0.0158881244471969,"ZNF397"
"674",0.180154388729955,"PPRC1"
"676",0.356019697816593,"FAM179B"
"677",0.135692363550707,"CCBL1"
"680",0.197141694101385,"CASC3"
"681",0.348322992225258,"ZNF160"
"682",0.22192058352131,"MPDU1"
"684",0.448176035273621,"CCL27"
"685",0.0921338227068773,"SEH1L"
"686",0.42758605960233,"ACSBG1"
"690",0.132718654154367,"ZNF777"
"692",0.385426341815752,"MOAP1"
"695",0.443811350769197,"WARS"
"699",0.0784018721853528,"PHF15"
"700",0.323724392692126,"SIK2"
"701",0.123944610233886,"NCOA3"
"704",0.0459986157919143,"METTL2B"
"706",0.279720079528053,"CCAR2"
"709",0.00213068737337174,"BPTF"
"711",0.405564483841008,"CCDC17"
"713",0.227509693196941,"LYSMD4"
"714",0.282133665031887,"FGD4"
"716",0.580125311809274,"TCTA"
"717",0.558853523703695,"EPDR1"
"720",0.511482667065481,"CTSK"
"721",0.238625460961222,"SRSF12"
"723",0.0583060345770843,"MKNK2"
"724",0.0274482837201777,"IDH3B"
"727",0.183409942805554,"POLR2L"
"728",0.0224417723364159,"SSBP2"
"729",0.182040582813704,"SYMPK"
"730",0.512688714851233,"PRDM2"
"733",0.0581489264099577,"TMUB1"
"735",0.496796994028781,"RMDN1"
"736",0.414480744243778,"TRIM3"
"737",0.162528953858724,"ZSWIM6"
"738",0.0253529531398853,"ANKFN1"
"739",0.0683580317419068,"AMBRA1"
"740",0.186371839726791,"MAPRE1"
"742",0.389127528702905,"RP11-432B6.3"
"743",0.372873823076022,"RNF141"
"744",0.140031106568834,"NUDT5"
"745",0.0892865753180203,"FBXO28"
"748",0.221412735022819,"OXA1L"
"749",0.451755772977162,"TMED2"
"752",0.174702589573395,"ZNF514"
"754",0.22192154752657,"PRICKLE2"
"755",0.157189343414633,"GALNT4"
"757",0.309624640742895,"NFYB"
"758",0.395413165728954,"PHPT1"
"761",0.375912454958321,"RBPJ"
"763",0.127882909605708,"NOLC1"
"765",0.255178622485044,"COX6A1"
"766",0.177980313132696,"ZNF362"
"767",0.146850320278192,"IFT172"
"769",0.137687916281477,"RBM4B"
"770",0.535373474645548,"AIFM1"
"774",0.0422012636674545,"RIPK4"
"776",0.463175265502715,"ATPIF1"
"777",0.382113212586432,"TFPT"
"778",0.131661928189763,"FAM3A"
"779",0.104310374768701,"RGMB"
"782",0.441916626653857,"OAZ2"
"784",0.0259773470807882,"NDUFS4"
"785",0.57738320506755,"CYR61"
"786",0.10131388397237,"C17orf85"
"787",0.540098052256974,"TBC1D9B"
"790",0.108998300965187,"GJA9"
"793",0.123268096421452,"NOSIP"
"794",0.207290812698904,"DDX27"
"795",0.290203083944341,"HEATR5B"
"797",0.0556494751553647,"SF3B1"
"800",0.474440713817368,"LDB3"
"802",0.551119218346947,"ICK"
"803",0.0504260761849853,"TRA2B"
"804",0.496426681558409,"PRR13"
"805",0.0429140550585023,"AC132192.1"
"808",0.293532824573411,"KIRREL3"
"809",0.240745040089207,"FUOM"
"811",0.320412553101203,"NR2F6"
"814",0.387937470915514,"RPL5"
"816",0.149061431586007,"UBE4A"
"817",0.113085042954561,"TGFBRAP1"
"818",0.404125300871936,"RABGEF1"
"819",0.384467805168446,"ARFGAP2"
"820",0.124636768802096,"PPDPF"
"824",0.14830814818749,"MDM4"
"827",0.0569643208267987,"ZNF417"
"830",0.465712683881394,"PAAF1"
"831",0.24745207151458,"UPF3A"
"832",0.280336369621481,"ZBTB24"
"833",0.153974007551863,"RNF146"
"834",0.155607880715653,"PDE6D"
"839",0.441494546085226,"LRRC61"
"840",0.118037507978197,"ZNF737"
"842",0.0133710870258561,"PHF5A"
"843",0.357652583257936,"ZNF594"
